Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,2010-02-05,53.8,2.965,4956.83,0.0,2675.79,3924.64,4862.47,168.684,6.042,False
1,2010-02-12,51.76,3.263,0.0,0.0,0.0,0.0,992.09,162.3,11.917,True
1,2010-02-19,80.56,3.458,0.0,0.0,0.0,0.0,0.0,150.073,5.61,False
1,2010-02-26,54.75,3.407,0.0,0.0,0.0,3127.26,0.0,216.55,9.47,False
1,2010-03-05,99.3,2.655,0.0,1311.26,0.0,0.0,0.0,210.233,6.589,False
1,2010-03-12,48.33,3.474,0.0,0.0,0.0,0.0,0.0,157.371,7.957,False
1,2010-03-19,53.18,3.721,0.0,0.0,0.0,0.0,1447.96,134.008,8.447,False
1,2010-03-26,62.31,3.949,0.0,0.0,0.0,3695.53,0.0,217.714,13.312,False
1,2010-04-02,43.06,2.507,0.0,2812.92,0.0,0.0,0.0,147.432,10.99,False
1,2010-04-09,71.02,2.84,0.0,0.0,0.0,3560.58,0.0,162.601,12.622,False
1,2010-04-16,83.43,3.858,0.0,2766.51,0.0,1674.66,0.0,218.225,9.687,False
1,2010-04-23,80.68,3.298,0.0,2612.66,984.53,3788.86,0.0,215.266,10.258,False
1,2010-04-30,61.22,3.064,0.0,3917.66,1980.95,3111.94,0.0,140.333,8.5,False
1,2010-05-07,77.85,3.386,0.0,0.0,0.0,3856.64,0.0,199.86,9.511,False
1,2010-05-14,85.91,3.795,0.0,0.0,0.0,1572.05,0.0,168.895,11.04,False
1,2010-05-21,60.39,3.494,0.0,0.0,0.0,931.21,0.0,161.411,5.977,False
1,2010-05-28,61.65,3.697,0.0,0.0,0.0,0.0,0.0,131.126,8.546,False
1,2010-06-04,90.39,2.7,7623.46,0.0,0.0,1814.77,5486.03,180.933,6.14,False
1,2010-06-11,72.17,2.865,0.0,0.0,662.81,906.55,0.0,136.318,10.077,False
1,2010-06-18,64.38,3.386,0.0,0.0,0.0,0.0,0.0,219.418,6.128,False
1,2010-06-25,97.13,3.618,4119.37,0.0,0.0,0.0,0.0,213.937,10.882,False
1,2010-07-02,49.51,2.714,6017.39,0.0,0.0,0.0,2247.71,173.201,6.806,False
1,2010-07-09,55.1,3.491,0.0,0.0,0.0,0.0,0.0,194.554,11.343,False
1,2010-07-16,90.23,3.963,0.0,0.0,0.0,0.0,0.0,216.861,11.003,False
1,2010-07-23,91.4,2.628,0.0,0.0,0.0,0.0,0.0,225.43,9.746,False
1,2010-07-30,47.77,3.716,0.0,0.0,0.0,0.0,489.07,198.054,13.18,False
1,2010-08-06,77.92,2.972,0.0,2913.97,0.0,0.0,4649.03,133.089,7.195,False
1,2010-08-13,85.87,3.463,0.0,0.0,0.0,2930.46,3508.65,201.054,9.954,False
1,2010-08-20,73.56,3.051,0.0,0.0,0.0,0.0,1579.82,147.509,9.385,False
1,2010-08-27,81.71,3.639,0.0,3010.57,0.0,0.0,5735.37,186.917,9.293,False
1,2010-09-03,58.68,2.505,0.0,0.0,0.0,2499.17,0.0,207.563,9.157,False
1,2010-09-10,83.52,2.525,1670.53,0.0,0.0,0.0,612.05,154.74,9.014,True
1,2010-09-17,40.31,2.955,5007.65,0.0,0.0,0.0,2595.03,127.027,13.18,False
1,2010-09-24,70.33,3.024,0.0,0.0,634.81,0.0,0.0,133.224,6.924,False
1,2010-10-01,77.68,2.542,0.0,0.0,0.0,1361.47,2600.52,137.946,7.663,False
1,2010-10-08,83.41,2.848,8633.57,0.0,0.0,3636.96,0.0,127.855,13.285,False
1,2010-10-15,70.02,2.84,1025.71,3854.06,0.0,817.58,0.0,127.326,13.49,False
1,2010-10-22,66.72,3.222,0.0,0.0,0.0,0.0,0.0,159.231,10.113,False
1,2010-10-29,44.46,3.617,7256.73,0.0,0.0,0.0,0.0,186.74,8.171,False
1,2010-11-05,96.23,3.007,8522.73,0.0,0.0,0.0,0.0,220.994,13.602,False
1,2010-11-12,88.95,3.981,0.0,0.0,0.0,0.0,0.0,141.581,8.908,False
1,2010-11-19,44.82,3.141,0.0,4034.49,0.0,0.0,0.0,188.472,5.508,False
1,2010-11-26,73.56,2.916,0.0,0.0,1608.2,0.0,3423.28,140.105,13.335,True
1,2010-12-03,58.48,3.363,0.0,0.0,0.0,0.0,0.0,139.222,10.649,False
1,2010-12-10,70.59,3.517,0.0,0.0,0.0,0.0,0.0,198.509,10.517,False
1,2010-12-17,65.44,2.872,0.0,0.0,2894.73,0.0,0.0,187.487,11.985,False
1,2010-12-24,60.85,3.288,0.0,0.0,0.0,0.0,0.0,199.702,7.04,False
1,2010-12-31,89.72,3.331,0.0,0.0,0.0,0.0,0.0,191.195,10.214,True
1,2011-01-07,92.13,3.687,0.0,1670.98,0.0,0.0,0.0,208.852,9.131,False
1,2011-01-14,93.76,3.051,0.0,0.0,0.0,0.0,1874.72,167.776,9.38,False
1,2011-01-21,85.94,3.838,0.0,0.0,0.0,0.0,2059.86,133.227,10.762,False
1,2011-01-28,42.54,3.687,7936.77,0.0,0.0,0.0,0.0,160.201,12.963,False
1,2011-02-04,71.11,3.102,9149.47,0.0,2026.65,0.0,3554.55,141.314,9.606,False
1,2011-02-11,92.35,3.385,0.0,0.0,0.0,967.76,0.0,201.223,12.937,True
1,2011-02-18,52.65,2.741,0.0,3350.25,0.0,0.0,0.0,190.859,10.254,False
1,2011-02-25,53.22,2.895,7957.01,0.0,0.0,0.0,4494.64,160.387,13.674,False
1,2011-03-04,50.28,3.691,3843.74,0.0,0.0,0.0,0.0,191.815,13.905,False
1,2011-03-11,49.0,2.713,0.0,989.5,0.0,0.0,4389.43,183.384,10.07,False
1,2011-03-18,96.61,3.894,2982.69,0.0,0.0,0.0,3663.81,126.515,9.31,False
1,2011-03-25,42.53,2.961,0.0,0.0,0.0,0.0,0.0,128.549,9.7,False
1,2011-04-01,86.43,3.686,7612.05,3040.75,0.0,0.0,5139.66,162.42,9.329,False
1,2011-04-08,93.41,3.584,0.0,0.0,0.0,0.0,0.0,222.615,5.032,False
1,2011-04-15,93.49,3.605,0.0,0.0,2002.36,2042.79,3021.94,207.322,7.896,False
1,2011-04-22,45.25,2.743,0.0,0.0,1409.78,0.0,4809.91,172.425,12.234,False
1,2011-04-29,55.35,3.54,0.0,0.0,0.0,363.05,0.0,158.732,10.835,False
1,2011-05-06,70.48,3.0,0.0,1232.23,0.0,0.0,0.0,176.128,5.048,False
1,2011-05-13,55.82,3.112,0.0,3086.46,0.0,0.0,4845.47,127.134,8.532,False
1,2011-05-20,53.14,3.151,5234.95,0.0,586.96,2447.26,0.0,195.194,12.791,False
1,2011-05-27,92.43,3.791,2378.52,3568.4,1204.47,0.0,0.0,218.326,9.265,False
1,2011-06-03,57.86,3.482,0.0,0.0,0.0,0.0,0.0,147.033,11.274,False
1,2011-06-10,40.84,2.689,0.0,600.17,0.0,0.0,1413.67,191.06,8.278,False
1,2011-06-17,87.1,3.443,0.0,2359.28,850.97,0.0,0.0,159.727,9.782,False
1,2011-06-24,41.98,3.977,8424.52,0.0,409.64,0.0,3887.62,209.67,7.35,False
1,2011-07-01,88.01,3.027,0.0,0.0,0.0,0.0,0.0,134.522,10.773,False
1,2011-07-08,73.15,2.561,0.0,0.0,0.0,0.0,0.0,136.425,13.56,False
1,2011-07-15,56.06,2.509,0.0,0.0,0.0,0.0,0.0,135.319,6.017,False
1,2011-07-22,59.15,2.519,0.0,0.0,0.0,1970.31,736.15,203.995,13.729,False
1,2011-07-29,78.43,3.405,0.0,0.0,0.0,0.0,0.0,130.969,13.919,False
1,2011-08-05,52.47,3.113,0.0,0.0,0.0,0.0,0.0,220.203,13.675,False
1,2011-08-12,61.07,3.784,6327.67,4711.15,564.32,0.0,0.0,143.823,13.246,False
1,2011-08-19,94.85,3.207,0.0,3748.37,1095.55,0.0,0.0,152.617,13.045,False
1,2011-08-26,81.35,3.616,0.0,0.0,668.86,0.0,0.0,130.712,9.217,False
1,2011-09-02,75.2,2.567,0.0,4935.31,0.0,0.0,5537.72,139.468,8.905,False
1,2011-09-09,71.83,3.921,0.0,0.0,0.0,0.0,0.0,197.66,10.725,True
1,2011-09-16,67.54,3.201,0.0,0.0,0.0,493.28,0.0,152.309,9.88,False
1,2011-09-23,50.53,2.985,0.0,0.0,0.0,2770.82,3006.5,174.394,7.43,False
1,2011-09-30,79.82,3.057,0.0,4173.27,0.0,0.0,0.0,180.448,12.657,False
1,2011-10-07,77.01,3.148,0.0,0.0,0.0,2657.81,5358.9,165.408,6.574,False
