date,store_id,category,units_sold,revenue,is_promoted,temperature_c,is_holiday
2022-01-03,Store_Casablanca,Fruits & Vegetables,2852,13438.36,0,14.9,0
2022-01-10,Store_Casablanca,Fruits & Vegetables,1614,16572.13,0,16.7,1
2022-01-17,Store_Casablanca,Fruits & Vegetables,1068,11913.92,0,13.4,0
2022-01-24,Store_Casablanca,Fruits & Vegetables,2134,14747.08,0,11.4,0
2022-01-31,Store_Casablanca,Fruits & Vegetables,1412,12912.83,0,14.1,0
2022-02-07,Store_Casablanca,Fruits & Vegetables,1550,14664.36,0,18.8,0
2022-02-14,Store_Casablanca,Fruits & Vegetables,2214,17128.55,1,24.0,0
2022-02-21,Store_Casablanca,Fruits & Vegetables,2160,17116.5,0,20.6,0
2022-02-28,Store_Casablanca,Fruits & Vegetables,2357,15311.83,0,19.8,0
2022-03-07,Store_Casablanca,Fruits & Vegetables,3703,20816.85,0,22.3,0
2022-03-14,Store_Casablanca,Fruits & Vegetables,4852,22684.22,0,24.5,0
2022-03-21,Store_Casablanca,Fruits & Vegetables,2279,21007.1,0,23.5,0
2022-03-28,Store_Casablanca,Fruits & Vegetables,2343,21783.65,1,22.4,0
2022-04-04,Store_Casablanca,Fruits & Vegetables,5478,26159.46,0,28.4,0
2022-04-11,Store_Casablanca,Fruits & Vegetables,2252,25422.4,1,26.3,0
2022-04-18,Store_Casablanca,Fruits & Vegetables,3536,24578.89,0,20.9,0
2022-04-25,Store_Casablanca,Fruits & Vegetables,2781,26830.95,0,24.5,1
2022-05-02,Store_Casablanca,Fruits & Vegetables,3255,32589.7,0,22.8,1
2022-05-09,Store_Casablanca,Fruits & Vegetables,2308,26145.93,0,25.0,0
2022-05-16,Store_Casablanca,Fruits & Vegetables,2337,24711.7,0,22.4,0
2022-05-23,Store_Casablanca,Fruits & Vegetables,2531,29645.96,1,22.0,0
2022-05-30,Store_Casablanca,Fruits & Vegetables,2177,25691.01,0,22.4,0
2022-06-06,Store_Casablanca,Fruits & Vegetables,4521,25417.06,1,20.5,0
2022-06-13,Store_Casablanca,Fruits & Vegetables,3315,24750.72,1,19.6,0
2022-06-20,Store_Casablanca,Fruits & Vegetables,2438,22690.51,0,22.8,0
2022-06-27,Store_Casablanca,Fruits & Vegetables,2317,22053.83,0,19.9,0
2022-07-04,Store_Casablanca,Fruits & Vegetables,5823,25906.52,0,15.2,1
2022-07-11,Store_Casablanca,Fruits & Vegetables,2515,21770.08,0,17.2,0
2022-07-18,Store_Casablanca,Fruits & Vegetables,2962,19889.44,0,16.2,0
2022-07-25,Store_Casablanca,Fruits & Vegetables,2166,22302.58,0,14.8,0
2022-08-01,Store_Casablanca,Fruits & Vegetables,3334,21206.22,0,9.8,0
2022-08-08,Store_Casablanca,Fruits & Vegetables,3141,20011.08,0,7.7,0
2022-08-15,Store_Casablanca,Fruits & Vegetables,3504,19262.28,0,9.4,0
2022-08-22,Store_Casablanca,Fruits & Vegetables,2134,19441.17,0,12.1,0
2022-08-29,Store_Casablanca,Fruits & Vegetables,2203,22200.26,1,8.8,0
2022-09-05,Store_Casablanca,Fruits & Vegetables,4118,20196.81,1,6.4,0
2022-09-12,Store_Casablanca,Fruits & Vegetables,1411,16579.32,0,4.3,0
2022-09-19,Store_Casablanca,Fruits & Vegetables,3418,17654.9,0,5.5,0
2022-09-26,Store_Casablanca,Fruits & Vegetables,1789,16963.79,1,7.5,0
2022-10-03,Store_Casablanca,Fruits & Vegetables,1484,16406.59,1,3.4,0
2022-10-10,Store_Casablanca,Fruits & Vegetables,2653,16571.04,1,4.3,0
2022-10-17,Store_Casablanca,Fruits & Vegetables,2736,15530.64,0,5.8,0
2022-10-24,Store_Casablanca,Fruits & Vegetables,2508,14037.74,0,4.9,0
2022-10-31,Store_Casablanca,Fruits & Vegetables,1386,15178.19,0,3.9,0
2022-11-07,Store_Casablanca,Fruits & Vegetables,3448,19900.03,0,11.2,0
2022-11-14,Store_Casablanca,Fruits & Vegetables,2197,16580.21,0,3.5,0
2022-11-21,Store_Casablanca,Fruits & Vegetables,1630,18029.63,0,5.0,0
2022-11-28,Store_Casablanca,Fruits & Vegetables,4164,22166.44,0,7.8,1
2022-12-05,Store_Casablanca,Fruits & Vegetables,2256,18961.82,0,13.3,0
2022-12-12,Store_Casablanca,Fruits & Vegetables,2114,17609.86,0,14.5,0
2022-12-19,Store_Casablanca,Fruits & Vegetables,2237,21076.23,0,4.3,0
2022-12-26,Store_Casablanca,Fruits & Vegetables,2790,24083.23,0,8.8,1
2023-01-02,Store_Casablanca,Fruits & Vegetables,1472,15204.91,0,12.5,1
2023-01-09,Store_Casablanca,Fruits & Vegetables,1366,13640.21,0,13.0,0
2023-01-16,Store_Casablanca,Fruits & Vegetables,1378,14473.95,1,11.3,0
2023-01-23,Store_Casablanca,Fruits & Vegetables,1121,13457.04,0,17.4,0
2023-01-30,Store_Casablanca,Fruits & Vegetables,2958,12873.93,0,16.7,0
2023-02-06,Store_Casablanca,Fruits & Vegetables,1625,12490.95,0,21.4,0
2023-02-13,Store_Casablanca,Fruits & Vegetables,1841,15721.14,1,23.5,0
2023-02-20,Store_Casablanca,Fruits & Vegetables,1175,13378.21,0,20.2,0
2023-02-27,Store_Casablanca,Fruits & Vegetables,2480,14516.92,0,21.5,0
2023-03-06,Store_Casablanca,Fruits & Vegetables,4732,22562.8,0,23.5,0
2023-03-13,Store_Casablanca,Fruits & Vegetables,5565,23118.95,0,20.6,0
2023-03-20,Store_Casablanca,Fruits & Vegetables,2207,23314.96,0,23.7,0
2023-03-27,Store_Casablanca,Fruits & Vegetables,2386,21554.25,0,24.6,0
2023-04-03,Store_Casablanca,Fruits & Vegetables,2451,24775.09,0,25.7,0
2023-04-10,Store_Casablanca,Fruits & Vegetables,2452,24525.29,0,26.4,0
2023-04-17,Store_Casablanca,Fruits & Vegetables,2953,25137.81,0,24.1,0
2023-04-24,Store_Casablanca,Fruits & Vegetables,5353,28615.08,0,25.5,1
2023-05-01,Store_Casablanca,Fruits & Vegetables,2745,24706.94,0,21.7,0
2023-05-08,Store_Casablanca,Fruits & Vegetables,6258,27723.85,1,23.1,0
2023-05-15,Store_Casablanca,Fruits & Vegetables,3025,27808.99,0,23.2,0
2023-05-22,Store_Casablanca,Fruits & Vegetables,2577,28213.08,0,22.4,0
2023-05-29,Store_Casablanca,Fruits & Vegetables,2442,25434.6,0,25.7,0
2023-06-05,Store_Casablanca,Fruits & Vegetables,1955,22604.02,0,22.0,0
2023-06-12,Store_Casablanca,Fruits & Vegetables,3699,19188.85,0,17.8,0
2023-06-19,Store_Casablanca,Fruits & Vegetables,4374,23447.93,1,19.7,0
2023-06-26,Store_Casablanca,Fruits & Vegetables,2605,22119.98,0,15.2,0
2023-07-03,Store_Casablanca,Fruits & Vegetables,2357,25035.01,0,18.5,1
2023-07-10,Store_Casablanca,Fruits & Vegetables,2764,20028.99,0,14.9,0
2023-07-17,Store_Casablanca,Fruits & Vegetables,2604,19138.87,0,14.3,0
2023-07-24,Store_Casablanca,Fruits & Vegetables,2158,18800.4,0,15.8,0
2023-07-31,Store_Casablanca,Fruits & Vegetables,1905,20181.89,0,15.7,0
2023-08-07,Store_Casablanca,Fruits & Vegetables,1533,18378.54,0,7.0,0
2023-08-14,Store_Casablanca,Fruits & Vegetables,3697,21777.91,1,12.5,0
2023-08-21,Store_Casablanca,Fruits & Vegetables,2330,19824.49,0,10.9,0
2023-08-28,Store_Casablanca,Fruits & Vegetables,4223,21422.91,0,12.1,0
2023-09-04,Store_Casablanca,Fruits & Vegetables,1526,17440.79,0,5.7,0
2023-09-11,Store_Casablanca,Fruits & Vegetables,1817,20834.78,1,7.3,0
2023-09-18,Store_Casablanca,Fruits & Vegetables,1519,16044.98,0,4.1,0
2023-09-25,Store_Casablanca,Fruits & Vegetables,1844,19157.85,1,6.4,0
2023-10-02,Store_Casablanca,Fruits & Vegetables,1249,14233.56,0,5.2,0
2023-10-09,Store_Casablanca,Fruits & Vegetables,2317,16772.75,1,4.5,0
2023-10-16,Store_Casablanca,Fruits & Vegetables,1930,15251.75,1,3.7,0
2023-10-23,Store_Casablanca,Fruits & Vegetables,3430,14620.6,0,5.0,0
2023-10-30,Store_Casablanca,Fruits & Vegetables,1357,13748.87,0,6.5,0
2023-11-06,Store_Casablanca,Fruits & Vegetables,2390,20670.35,0,6.1,0
2023-11-13,Store_Casablanca,Fruits & Vegetables,4411,20020.11,1,7.4,0
2023-11-20,Store_Casablanca,Fruits & Vegetables,1990,20439.09,0,8.0,0
2023-11-27,Store_Casablanca,Fruits & Vegetables,2598,23807.22,0,4.2,1
2023-12-04,Store_Casablanca,Fruits & Vegetables,1978,21095.83,1,13.1,0
2023-12-11,Store_Casablanca,Fruits & Vegetables,2423,17844.14,0,7.1,0
2023-12-18,Store_Casablanca,Fruits & Vegetables,2797,17193.63,0,7.1,0
2023-12-25,Store_Casablanca,Fruits & Vegetables,2355,27254.32,1,7.7,1
2024-01-01,Store_Casablanca,Fruits & Vegetables,2812,12532.17,0,19.7,0
2022-01-03,Store_Casablanca,Bakery,1418,10843.48,0,13.1,0
2022-01-10,Store_Casablanca,Bakery,1427,13985.9,1,11.6,1
2022-01-17,Store_Casablanca,Bakery,2408,10728.57,0,15.3,0
2022-01-24,Store_Casablanca,Bakery,1143,11169.74,0,17.0,0
2022-01-31,Store_Casablanca,Bakery,2090,11954.45,1,14.4,0
2022-02-07,Store_Casablanca,Bakery,1156,12179.52,0,20.6,0
2022-02-14,Store_Casablanca,Bakery,965,11290.8,0,17.0,0
2022-02-21,Store_Casablanca,Bakery,1352,12293.86,0,19.5,0
2022-02-28,Store_Casablanca,Bakery,2489,13996.57,1,20.1,0
2022-03-07,Store_Casablanca,Bakery,1706,13664.26,0,26.6,0
2022-03-14,Store_Casablanca,Bakery,1959,12266.53,0,27.3,0
2022-03-21,Store_Casablanca,Bakery,1867,12662.09,0,18.6,0
2022-03-28,Store_Casablanca,Bakery,1491,13928.01,0,24.8,0
2022-04-04,Store_Casablanca,Bakery,2091,17944.56,1,24.8,0
2022-04-11,Store_Casablanca,Bakery,3073,14965.85,0,25.1,0
2022-04-18,Store_Casablanca,Bakery,1975,14080.39,0,27.5,0
2022-04-25,Store_Casablanca,Bakery,1804,18997.82,0,26.1,1
2022-05-02,Store_Casablanca,Bakery,2482,23502.83,1,20.6,1
2022-05-09,Store_Casablanca,Bakery,1486,16274.82,0,24.2,0
2022-05-16,Store_Casablanca,Bakery,1461,16906.49,0,27.6,0
2022-05-23,Store_Casablanca,Bakery,3230,16362.48,0,21.6,0
2022-05-30,Store_Casablanca,Bakery,2224,15543.95,0,26.2,0
2022-06-06,Store_Casablanca,Bakery,1895,15117.63,0,18.4,0
2022-06-13,Store_Casablanca,Bakery,2683,18056.91,0,19.3,0
2022-06-20,Store_Casablanca,Bakery,1586,17140.42,1,20.3,0
2022-06-27,Store_Casablanca,Bakery,2610,16181.98,0,23.7,0
2022-07-04,Store_Casablanca,Bakery,1792,18940.57,0,15.6,1
2022-07-11,Store_Casablanca,Bakery,1392,15874.12,0,16.7,0
2022-07-18,Store_Casablanca,Bakery,1516,16180.54,0,15.0,0
2022-07-25,Store_Casablanca,Bakery,3135,15295.17,0,14.4,0
2022-08-01,Store_Casablanca,Bakery,1619,16306.96,0,12.9,0
2022-08-08,Store_Casablanca,Bakery,1522,14490.13,0,11.1,0
2022-08-15,Store_Casablanca,Bakery,2353,16867.82,1,12.9,0
2022-08-22,Store_Casablanca,Bakery,1443,16064.84,0,10.0,0
2022-08-29,Store_Casablanca,Bakery,2828,14865.6,0,10.2,0
2022-09-05,Store_Casablanca,Bakery,1362,11976.07,0,3.5,0
2022-09-12,Store_Casablanca,Bakery,1125,13043.59,0,7.0,0
2022-09-19,Store_Casablanca,Bakery,1781,13793.77,0,5.3,0
2022-09-26,Store_Casablanca,Bakery,2015,14445.67,0,5.1,0
2022-10-03,Store_Casablanca,Bakery,891,9976.25,0,4.3,0
2022-10-10,Store_Casablanca,Bakery,1364,13417.38,1,6.6,0
2022-10-17,Store_Casablanca,Bakery,1682,11340.76,0,3.0,0
2022-10-24,Store_Casablanca,Bakery,2308,12119.42,0,3.1,0
2022-10-31,Store_Casablanca,Bakery,2472,11911.87,0,3.1,0
2022-11-07,Store_Casablanca,Bakery,2420,17695.09,1,11.1,0
2022-11-14,Store_Casablanca,Bakery,1342,15201.81,0,10.9,0
2022-11-21,Store_Casablanca,Bakery,2664,13161.79,0,6.1,0
2022-11-28,Store_Casablanca,Bakery,2333,16952.15,0,5.0,1
2022-12-05,Store_Casablanca,Bakery,1505,13835.34,0,9.9,0
2022-12-12,Store_Casablanca,Bakery,3281,14929.15,0,8.5,0
2022-12-19,Store_Casablanca,Bakery,2372,14476.45,0,9.6,0
2022-12-26,Store_Casablanca,Bakery,1532,18027.74,0,10.3,1
2023-01-02,Store_Casablanca,Bakery,2059,13750.52,0,14.4,1
2023-01-09,Store_Casablanca,Bakery,1859,11260.35,0,15.3,0
2023-01-16,Store_Casablanca,Bakery,1362,11689.85,1,13.3,0
2023-01-23,Store_Casablanca,Bakery,1200,9996.83,0,14.9,0
2023-01-30,Store_Casablanca,Bakery,1066,10715.52,0,17.5,0
2023-02-06,Store_Casablanca,Bakery,932,10125.42,0,20.9,0
2023-02-13,Store_Casablanca,Bakery,1923,12653.65,1,21.4,0
2023-02-20,Store_Casablanca,Bakery,1351,12180.37,0,22.4,0
2023-02-27,Store_Casablanca,Bakery,2721,12963.91,0,22.0,0
2023-03-06,Store_Casablanca,Bakery,1164,13485.99,0,24.0,0
2023-03-13,Store_Casablanca,Bakery,1138,12713.89,0,23.5,0
2023-03-20,Store_Casablanca,Bakery,3286,14902.78,1,22.7,0
2023-03-27,Store_Casablanca,Bakery,1572,13473.39,0,23.5,0
2023-04-03,Store_Casablanca,Bakery,1443,16373.97,0,25.4,0
2023-04-10,Store_Casablanca,Bakery,3098,15024.68,0,23.6,0
2023-04-17,Store_Casablanca,Bakery,1504,14236.32,0,21.1,0
2023-04-24,Store_Casablanca,Bakery,1925,19817.84,0,23.7,1
2023-05-01,Store_Casablanca,Bakery,1398,14462.24,0,28.0,0
2023-05-08,Store_Casablanca,Bakery,2864,17182.58,0,24.1,0
2023-05-15,Store_Casablanca,Bakery,1831,18486.92,1,21.5,0
2023-05-22,Store_Casablanca,Bakery,1962,16566.58,0,26.4,0
2023-05-29,Store_Casablanca,Bakery,2021,19323.6,1,27.3,0
2023-06-05,Store_Casablanca,Bakery,2172,18085.7,0,18.8,0
2023-06-12,Store_Casablanca,Bakery,1659,19112.28,0,17.0,0
2023-06-19,Store_Casablanca,Bakery,1814,17848.49,0,21.7,0
2023-06-26,Store_Casablanca,Bakery,4043,17768.0,0,18.4,0
2023-07-03,Store_Casablanca,Bakery,2885,20405.77,0,16.4,1
2023-07-10,Store_Casablanca,Bakery,1299,15333.27,0,12.9,0
2023-07-17,Store_Casablanca,Bakery,3933,20107.76,1,20.2,0
2023-07-24,Store_Casablanca,Bakery,2958,15889.67,0,15.3,0
2023-07-31,Store_Casablanca,Bakery,2814,17160.36,0,15.5,0
2023-08-07,Store_Casablanca,Bakery,3555,15016.6,1,11.4,0
2023-08-14,Store_Casablanca,Bakery,2211,15929.98,0,10.8,0
2023-08-21,Store_Casablanca,Bakery,1168,12965.68,0,9.8,0
2023-08-28,Store_Casablanca,Bakery,1202,14194.05,0,5.0,0
2023-09-04,Store_Casablanca,Bakery,2843,13574.19,1,5.7,0
2023-09-11,Store_Casablanca,Bakery,2998,13251.16,0,5.0,0
2023-09-18,Store_Casablanca,Bakery,1414,13318.85,0,6.3,0
2023-09-25,Store_Casablanca,Bakery,1122,13116.39,0,10.3,0
2023-10-02,Store_Casablanca,Bakery,1094,9711.35,0,4.7,0
2023-10-09,Store_Casablanca,Bakery,1569,13248.6,1,4.8,0
2023-10-16,Store_Casablanca,Bakery,2824,12764.93,0,6.8,0
2023-10-23,Store_Casablanca,Bakery,1041,12121.06,0,2.2,0
2023-10-30,Store_Casablanca,Bakery,1895,11471.05,0,4.7,0
2023-11-06,Store_Casablanca,Bakery,2287,17138.53,1,6.7,0
2023-11-13,Store_Casablanca,Bakery,1997,16184.79,0,10.4,0
2023-11-20,Store_Casablanca,Bakery,2416,14812.08,0,7.9,0
2023-11-27,Store_Casablanca,Bakery,3918,19943.13,0,5.2,1
2023-12-04,Store_Casablanca,Bakery,1741,17324.38,1,9.7,0
2023-12-11,Store_Casablanca,Bakery,3687,16031.12,0,9.1,0
2023-12-18,Store_Casablanca,Bakery,1962,16811.58,1,11.0,0
2023-12-25,Store_Casablanca,Bakery,2105,22274.26,1,7.8,1
2024-01-01,Store_Casablanca,Bakery,2019,11144.97,0,16.4,0
2022-01-03,Store_Casablanca,Dairy,1719,13497.46,1,16.0,0
2022-01-10,Store_Casablanca,Dairy,2795,18664.4,1,14.6,1
2022-01-17,Store_Casablanca,Dairy,1338,12917.05,1,11.8,0
2022-01-24,Store_Casablanca,Dairy,2150,11366.66,0,15.3,0
2022-01-31,Store_Casablanca,Dairy,2748,13866.26,1,16.0,0
2022-02-07,Store_Casablanca,Dairy,1593,13775.02,0,20.3,0
2022-02-14,Store_Casablanca,Dairy,1235,13444.31,0,19.5,0
2022-02-21,Store_Casablanca,Dairy,1655,12547.95,0,17.6,0
2022-02-28,Store_Casablanca,Dairy,2126,14308.88,1,21.0,0
2022-03-07,Store_Casablanca,Dairy,1788,15785.57,0,24.1,0
2022-03-14,Store_Casablanca,Dairy,1306,15126.03,0,25.5,0
2022-03-21,Store_Casablanca,Dairy,1323,14821.55,0,23.3,0
2022-03-28,Store_Casablanca,Dairy,1212,14095.52,0,24.5,0
2022-04-04,Store_Casablanca,Dairy,3430,16828.28,0,24.9,0
2022-04-11,Store_Casablanca,Dairy,2098,19060.38,0,24.4,0
2022-04-18,Store_Casablanca,Dairy,2054,15981.63,0,25.6,0
2022-04-25,Store_Casablanca,Dairy,2657,20505.82,0,24.6,1
2022-05-02,Store_Casablanca,Dairy,2648,24388.7,0,25.1,1
2022-05-09,Store_Casablanca,Dairy,2791,19477.59,0,20.8,0
2022-05-16,Store_Casablanca,Dairy,2989,17922.59,0,24.1,0
